,168892,1013352,1857812,2702272,3546732,4391192,5235652,6080112,6924572,7769032,8613492,9457952,10302412,11146872,11991332,12835792,13680252,14524712,15369172,16213632
BasicTicks,308262,1114021,2330117,3229906,4152471,5336601,6177429,7075733,8591200,9322746,10415232,12085017,13957889,14056972,16269685,17877339,16363079,17848872,19253383,19161378
AdvancedTicks,2745,385,788,1248,1963,573,1436,1984,749,3644,1071,514,511,3813,6113,3443,7514,1751,32860,7718
